"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 26 15:47:44 IST 2023","Thu Oct 26 15:47:46 IST 2023","1424","chromium","TC_05_checkoutWithPGUandSU.test.js","Login as a Locked out user and Performance glitch user and complete the checkout workflow with Standard user","","","Login to App as a Locked out user user",""
"passed","Thu Oct 26 15:47:45 IST 2023","Thu Oct 26 15:47:50 IST 2023","5604","chromium","TC_01_productPage.test.js","Verify All Social Channel Links","","","Click on LinkedIn link and check whether user is navigated to LinkedIn page",""
"passed","Thu Oct 26 15:47:36 IST 2023","Thu Oct 26 15:47:44 IST 2023","8463","chromium","TC_02_checkoutWorkflow.test.js","Login as a standard user to complete the checkout workflow","","","Login to App as a standard user",""
"passed","Thu Oct 26 15:47:35 IST 2023","Thu Oct 26 15:47:44 IST 2023","8791","chromium","TC_01_productPage.test.js","@smoke: Login as a standard user to verify the products page and logout from the application","","","Login to App as a standard user",""
"passed","Thu Oct 26 15:47:42 IST 2023","Thu Oct 26 15:47:58 IST 2023","15783","chromium","TC_03_checkoutWithSUandPGU.test.js","Login as a Standard User to select a product item and then complete the checkout workflow with Performance Glitch User","","","Login to App as a standard user",""
"passed","Thu Oct 26 15:47:36 IST 2023","Thu Oct 26 15:47:45 IST 2023","9050","chromium","TC_01_productPage.test.js","Verify All Social Channel Links","","","Click on Facebook link and check whether user is navigated to Facebook page",""
"passed","Thu Oct 26 15:47:50 IST 2023","Thu Oct 26 15:47:58 IST 2023","7528","chromium","TC_01_productPage.test.js","Verify All Social Channel Links","","","Click on Twitter link and check whether user is navigated to twitter page",""
"passed","Thu Oct 26 15:47:35 IST 2023","Thu Oct 26 15:47:42 IST 2023","6908","chromium","TC_01_productPage.test.js","@smoke: Login as a standard user to verify the products page and logout from the application","","","Click on the ""About"" side nav bar link to check whether user is navigated to sauce labs page",""
"passed","Thu Oct 26 15:47:46 IST 2023","Thu Oct 26 15:47:54 IST 2023","8460","chromium","TC_05_checkoutWithPGUandSU.test.js","Login as a Locked out user and Performance glitch user and complete the checkout workflow with Standard user","","","Login to App as a Performance glitch user",""
"passed","Thu Oct 26 15:47:44 IST 2023","Thu Oct 26 15:47:58 IST 2023","13785","chromium","TC_04_checkoutWithPUandPGU.test.js","Login as a Problem user to select a product item and then complete the checkout workflow with Performance Glitch User","","","Login to App as a problem user",""
